GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logging-core,mx.att.digital.api.logging,MDCFilter,0,88,0,18,0,27,0,11,0,2
logging-core,mx.att.digital.api.logging,LoggingAspect,0,80,0,2,0,17,0,5,0,4
logging-core,mx.att.digital.api.logging,LogSanitizer,21,248,3,29,7,39,4,23,1,10
